name, lat, long, address
Wayside Takeout & Catering, 38.025379, -78.515282, 2203 Jefferson Park Ave
Brown's,38.019940, -78.482170, 1218 Avon St
Soul Food Joint,38.030900, -78.479560, 300 E Market St
Mel's Cafe, 38.031870, -78.490460, 719 W Main St
Ace Biscuit and BBQ, 38.0376279,-78.4833287, 600 Concord Ave
Croby's Urban Viddles, 38.001163,-78.4959554, 32 Mill Creek Dr
Michie Tavern, 38.00936,-78.464269, 683 Thomas Jefferson Pkwy
Red Hub Food Co, 38.0339652,-78.4936862, 202 10th St NW
Raising Cane's Chicken Fingers, 38.0591722,-78.493567, 1805 Emmet St N
The Market at Preston, 38.0357003,-78.4855188, 601 Preston Ave
